0, 15.69, 180, 47
1, 15.19, 180, 46
2, 17.18, 180, 47
3, 20.15, 180, 42
4, 207.51, 577, 48
5, 15.83, 180, 44
6, 12.62, 225, 37
7, 272.97, 180, 48
8, 206.72, 180, 41
0, 294.17, 2790, 55
1, 292.53, 2782, 54
2, 308.43, 2805, 55
3, 284.20, 2797, 49
4, 297.52, 2812, 55
5, 299.06, 2827, 51
6, 12.61, 225, 37
7, 295.78, 2745, 51
8, 295.75, 2805, 47
0, 306.03, 2790, 55
1, 303.27, 2775, 55
2, 320.55, 2805, 56
3, 304.34, 2797, 50
4, 316.28, 2812, 56
5, 319.44, 2827, 52
6, 12.61, 225, 37
7, 314.73, 2745, 51
8, 313.20, 2805, 48
0, 307.13, 2790, 56
1, 305.22, 2775, 55
2, 321.75, 2805, 56
3, 305.39, 2797, 51
4, 318.92, 2812, 57
5, 322.81, 2827, 53
6, 12.69, 225, 37
7, 316.73, 2745, 53
8, 315.82, 2812, 49
0, 308.89, 2782, 56
1, 306.65, 2775, 56
2, 322.67, 2805, 57
3, 307.02, 2797, 51
4, 320.96, 2805, 57
5, 324.18, 2827, 53
6, 12.70, 225, 37
7, 317.73, 2745, 53
8, 317.59, 2805, 49
0, 310.44, 2790, 57
1, 308.09, 2775, 56
2, 324.11, 2805, 57
3, 308.02, 2797, 52
4, 321.64, 2805, 58
5, 325.77, 2820, 54
6, 12.72, 225, 37
7, 318.23, 2737, 54
8, 318.70, 2805, 49
0, 311.54, 2790, 57
1, 309.93, 2775, 56
2, 325.84, 2805, 57
3, 310.23, 2797, 52
4, 324.37, 2805, 59
5, 328.27, 2820, 55
6, 12.74, 225, 37
7, 319.54, 2737, 54
8, 321.14, 2805, 51
0, 313.71, 2782, 57
1, 310.65, 2767, 57
2, 326.88, 2805, 57
3, 310.23, 2797, 52
4, 324.97, 2805, 58
5, 328.68, 2812, 55
6, 12.76, 225, 37
7, 322.15, 2737, 54
8, 321.32, 2805, 50
0, 314.17, 2782, 57
1, 312.46, 2767, 57
2, 327.86, 2797, 58
3, 311.40, 2797, 52
4, 326.26, 2805, 59
5, 329.88, 2812, 55
6, 12.75, 225, 37
7, 321.61, 2730, 55
8, 322.62, 2805, 50
0, 316.65, 2782, 58
1, 313.99, 2767, 57
2, 318.70, 2805, 55
3, 313.10, 2797, 53
4, 328.35, 2805, 60
5, 331.11, 2812, 55
6, 12.69, 225, 37
7, 323.55, 2730, 55
8, 324.33, 2805, 51
0, 268.26, 2790, 58
1, 260.67, 2775, 57
2, 279.68, 2805, 58
3, 271.71, 2797, 52
4, 284.28, 2812, 58
5, 287.57, 2842, 54
6, 12.55, 225, 37
7, 280.05, 2745, 54
8, 281.77, 2812, 50
0, 309.82, 2790, 58
1, 306.21, 2775, 58
2, 323.43, 2805, 58
3, 303.44, 2797, 53
4, 318.20, 2805, 60
5, 319.91, 2820, 56
6, 12.62, 225, 37
7, 315.00, 2737, 56
8, 312.78, 2812, 51
0, 311.04, 2790, 58
1, 307.02, 2775, 58
2, 324.84, 2805, 59
3, 307.48, 2797, 53
4, 322.74, 2805, 60
5, 324.88, 2820, 55
6, 12.69, 225, 37
7, 318.26, 2737, 55
8, 317.98, 2805, 51
0, 312.17, 2790, 59
1, 309.56, 2775, 58
2, 326.11, 2805, 59
3, 308.91, 2790, 53
4, 324.94, 2812, 60
5, 327.09, 2820, 56
6, 12.73, 217, 37
7, 319.18, 2737, 56
8, 319.67, 2805, 52
0, 313.10, 2790, 59
1, 309.23, 2767, 58
2, 327.55, 2805, 59
3, 310.36, 2797, 54
4, 325.65, 2805, 60
5, 328.61, 2820, 56
6, 12.89, 225, 37
7, 320.59, 2737, 56
8, 320.84, 2805, 52
0, 314.66, 2782, 60
1, 309.61, 2767, 59
2, 328.40, 2797, 59
3, 311.68, 2790, 54
4, 326.29, 2805, 61
5, 329.20, 2812, 57
6, 12.81, 225, 37
7, 321.07, 2737, 56
8, 321.62, 2805, 52
0, 316.52, 2790, 60
1, 311.37, 2767, 59
2, 329.30, 2797, 59
3, 312.84, 2790, 55
4, 327.62, 2805, 61
5, 330.04, 2812, 57
6, 12.66, 225, 37
7, 322.32, 2730, 57
8, 323.01, 2805, 52
0, 316.80, 2782, 60
1, 312.79, 2767, 60
2, 331.86, 2805, 60
3, 313.75, 2790, 55
4, 328.92, 2805, 62
5, 332.79, 2812, 57
6, 12.66, 225, 37
7, 323.21, 2730, 57
8, 324.59, 2805, 53
0, 318.02, 2782, 61
1, 313.53, 2767, 60
2, 332.62, 2797, 60
3, 315.90, 2790, 55
4, 329.60, 2805, 62
5, 332.45, 2812, 57
6, 12.75, 225, 37
7, 324.63, 2730, 57
8, 325.61, 2805, 53
0, 320.13, 2782, 60
1, 314.74, 2767, 60
2, 333.75, 2797, 61
3, 315.65, 2790, 55
4, 331.23, 2805, 62
5, 333.57, 2812, 58
6, 12.76, 225, 37
7, 325.93, 2730, 58
8, 326.00, 2805, 53
0, 322.17, 2782, 61
1, 315.96, 2767, 60
2, 335.34, 2797, 61
3, 316.92, 2782, 55
4, 332.70, 2797, 62
5, 334.74, 2812, 58
6, 12.62, 225, 37
7, 327.49, 2730, 57
8, 327.40, 2797, 53
0, 322.16, 2782, 61
1, 316.71, 2767, 61
2, 337.44, 2797, 62
3, 318.75, 2790, 56
4, 334.30, 2805, 62
5, 337.10, 2812, 58
6, 12.65, 225, 37
7, 328.69, 2730, 58
8, 329.11, 2790, 53
0, 323.57, 2775, 61
1, 317.72, 2767, 61
2, 337.92, 2797, 61
3, 319.00, 2782, 55
4, 334.62, 2790, 63
5, 336.52, 2812, 58
6, 12.65, 225, 37
7, 329.81, 2730, 58
8, 329.38, 2790, 53
0, 324.47, 2775, 62
1, 319.06, 2767, 61
2, 339.18, 2797, 62
3, 320.11, 2782, 56
4, 335.94, 2790, 64
5, 338.02, 2805, 58
6, 12.74, 225, 37
7, 330.08, 2730, 58
8, 330.90, 2790, 54
0, 326.18, 2782, 62
1, 321.23, 2767, 61
2, 340.45, 2797, 63
3, 321.60, 2782, 56
4, 337.39, 2790, 63
5, 339.00, 2812, 58
6, 12.82, 225, 37
7, 331.62, 2730, 59
8, 331.82, 2790, 54
0, 327.21, 2782, 63
1, 321.84, 2767, 61
2, 342.17, 2797, 62
3, 323.47, 2782, 56
4, 339.40, 2790, 63
5, 341.22, 2805, 59
6, 12.77, 225, 37
7, 333.30, 2730, 60
8, 333.87, 2790, 55
0, 328.77, 2775, 62
1, 322.52, 2760, 62
2, 342.74, 2790, 62
3, 323.62, 2782, 57
4, 339.60, 2790, 66
5, 341.59, 2805, 59
6, 12.83, 225, 37
7, 334.10, 2730, 60
8, 334.51, 2790, 55
0, 330.35, 2775, 62
1, 324.24, 2767, 62
2, 344.29, 2790, 62
3, 325.15, 2782, 57
4, 340.70, 2782, 66
5, 342.98, 2805, 60
6, 12.74, 225, 37
7, 334.46, 2722, 60
8, 335.60, 2790, 55
0, 330.53, 2775, 63
1, 325.30, 2767, 62
2, 345.56, 2790, 63
3, 326.41, 2782, 56
4, 343.35, 2790, 65
5, 344.28, 2805, 60
6, 12.75, 225, 37
7, 335.44, 2730, 61
8, 337.58, 2782, 54
0, 331.63, 2767, 63
1, 326.22, 2760, 62
2, 346.01, 2797, 63
3, 326.77, 2782, 57
4, 343.38, 2790, 65
5, 344.98, 2805, 60
6, 12.80, 225, 37
7, 337.74, 2730, 62
8, 337.17, 2790, 56
0, 332.69, 2775, 63
1, 327.65, 2767, 62
2, 346.54, 2790, 64
3, 327.67, 2775, 57
4, 343.98, 2782, 65
5, 345.96, 2805, 60
6, 12.81, 225, 37
7, 338.15, 2722, 60
8, 337.88, 2790, 55
0, 333.16, 2760, 64
1, 328.92, 2760, 63
2, 347.93, 2782, 63
3, 327.86, 2782, 58
4, 346.36, 2790, 65
5, 347.71, 2805, 60
6, 12.75, 225, 37
7, 338.84, 2722, 61
8, 339.24, 2782, 55
0, 332.66, 2760, 64
1, 328.39, 2760, 64
2, 347.64, 2782, 64
3, 328.62, 2782, 58
4, 345.47, 2782, 65
5, 347.37, 2805, 61
6, 12.81, 225, 37
7, 339.64, 2722, 60
8, 339.03, 2782, 56
0, 334.14, 2760, 64
1, 329.09, 2752, 63
2, 348.96, 2775, 64
3, 328.90, 2775, 58
4, 347.25, 2782, 66
5, 347.89, 2805, 61
6, 12.81, 225, 37
7, 339.08, 2722, 60
8, 340.12, 2790, 57
0, 334.92, 2760, 64
1, 329.92, 2752, 64
2, 349.26, 2775, 65
3, 329.29, 2782, 58
4, 347.43, 2782, 66
5, 348.55, 2805, 61
6, 12.78, 225, 37
7, 339.71, 2722, 61
8, 340.11, 2782, 56
0, 337.06, 2752, 66
1, 331.43, 2745, 64
2, 351.10, 2775, 64
3, 330.15, 2782, 58
4, 349.34, 2782, 67
5, 350.17, 2797, 61
6, 12.72, 225, 37
7, 342.10, 2722, 61
8, 342.77, 2790, 57
0, 339.27, 2760, 64
1, 334.02, 2745, 65
2, 352.46, 2775, 65
3, 332.67, 2775, 59
4, 351.19, 2775, 67
5, 352.37, 2797, 61
6, 12.65, 225, 37
7, 343.38, 2722, 61
8, 344.82, 2782, 56
0, 339.27, 2760, 65
1, 334.31, 2745, 64
2, 354.03, 2775, 65
3, 334.91, 2782, 58
4, 351.38, 2782, 67
5, 354.28, 2797, 62
6, 12.66, 225, 37
7, 345.20, 2722, 61
8, 345.65, 2782, 56
0, 340.42, 2752, 65
1, 335.15, 2745, 64
2, 354.73, 2775, 65
3, 334.97, 2775, 59
4, 353.20, 2782, 67
5, 354.99, 2797, 63
6, 12.65, 225, 37
7, 345.49, 2722, 62
8, 346.20, 2782, 58
0, 340.13, 2760, 66
1, 334.62, 2752, 65
2, 353.50, 2767, 65
3, 335.11, 2775, 59
4, 353.09, 2775, 68
